,Name,R-RetTime,R-Type,R-Area,R-Height,R-Width,R-Start,R-End,R-HPLC-concentration,S-RetTime,S-Type,S-Area,S-Height,S-Width,S-Start,S-End,S-HPLC-concentration,R-OD600,R-Fluorescence,R-RFU/OD,R-Biosensor-concentration,S-OD600,S-Fluorescence,S-RFU/OD,S-Biosensor-concentration,HPLC batch,R-growth-plate,S-growth-plate,ired,run_order,R-Biosensor-concentration-err,S-Biosensor-concentration-err
15,IR6-1,5.246531487,BB  ,37889924.0,2795081.5,0.205367506,5.006166458,7.308033466,30.73725309,4.303249836,BB  ,16243894.0,3081889.25,0.079197183,4.189683437,4.531467915,15.87828449,0.811,16352,20162.76202,15.917701300000001,0.849,85853,101122.4971,33.544226825,1,1,2,IR6,15,1.0683055110516422,0.9918469626751495
16,IR6-2,5.251515388,BB  ,40249916.0,2956525.5,0.203094125,4.809316635,7.593216896,32.970426,4.307657242,BB  ,16328164.0,3098380.5,0.082142197,4.179749966,4.508630753,15.9840566,0.805,15977,19847.20497,15.642254150000001,0.842,87065,103402.6128,33.964700750000006,1,1,2,IR6,16,1.0524534455204075,0.9995485606709849
17,IR6-3,5.243985653,BB  ,38057948.0,2907987.5,0.196951136,4.789566517,6.373350143,30.89423914,4.300784111,BB  ,16234635.0,3088819.75,0.081979245,4.179666519,4.508571625,15.8666829,0.821,15583,18980.51157,14.88625985,0.835,82273,98530.53892,32.9970723,1,1,2,IR6,17,1.0768949558977317,1.0238589910201064
18,IR7-1,5.257400036,BB  ,1936852.0,140963.5938,0.201616019,4.966650009,5.911016464,1.144430291,4.295502663,BB  ,5258501.0,1059731.375,0.07560125,4.179683208,4.484107971,4.88679366,0.846,4788,5659.574468,1.1168839585,0.889,17161,19303.71204,5.251827892000001,1,1,2,IR7,18,0.9927120313224406,4.480930202783429
19,IR7-2,5.261441231,BB  ,40537616.0,2726837.25,0.223608613,4.691216469,7.652166843,33.24693769,4.289175987,BB  ,16692427.0,3109458.75,0.083284862,4.169849873,4.684288979,16.4450218,0.842,4464,5301.662708,0.9446403970000001,0.844,92172,109208.5308,35.061501699999994,1,1,2,IR7,19,0.8923787971635271,0.991326988390869
20,IR7-3,5.255507946,BB  ,2195034.75,157127.4375,0.198390678,4.976500034,6.009383202,1.349056671,4.301173687,BB  ,4861092.5,954970.3125,0.077091917,4.189533234,4.55884409,4.593207872,0.786,4000,5089.058524,0.85329869875,0.867,17046,19660.89965,5.45214911425,1,1,2,IR7,20,0.8258179248105012,4.454169366841236
21,IR8-1,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.765,3479,4547.712418,0.66928050325,0.901,13675,15177.58047,2.9403935354999997,1,1,2,IR8,21,0.6514435270402881,3.2491260258627737
22,IR8-2,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.849,3603,4243.816254,0.6000007525,0.802,11987,14946.38404,2.995161068,1,1,2,IR8,22,0.606566599646743,3.259452172519841
23,IR8-3,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.85,3430,4035.294118,0.5771181329999999,0.907,13696,15100.33076,2.9644900105,1,1,2,IR8,23,0.5648536246988239,3.2715777380324647
24,IR9-1,5.277131557,BB  ,832897.9375,63923.53125,0.184476972,5.025733471,5.704500198,0.267307267,4.251988888,BV  ,34119696.0,3331579.25,0.151946813,3.963333368,4.729321003,45.63010024,0.331,2048,6187.311178,1.5824297375,0.363,24329,67022.03857,26.1549266,1,1,2,IR9,24,1.1911525022095124,1.2102222249869814
