variant,ligand,log_g0,log_g0_err,log_ginf,log_ginf_err,log_ec50,log_ec50_err,n,n_err,log_ginf_g0_ratio,log_ginf_g0_ratio_err,ec50_spec,ec50_spec_err,g32_spec,g32_spec_err,log_g32_g0_ratio,log_g32_g0_ratio_err,log_g500,log_g500_err,log_g500_g0_ratio,log_g500_g0_ratio_err
pRamR-R2.2,1S-TIQ,0.8724945,0.509134459,4.623925,0.289054302,3.34246,0.157910727,2.09746,0.082236032,3.764805,0.593514941,-0.9822375,0.160761934,-1.053943866,0.157471696,0.260997292,0.316355626,3.261403787,0.022756114,2.385990682,0.507912204
pRamR-S1.1,1-DIQ,2.08616,0.066243392,4.09893,0.531066645,3.127025,0.418213667,1.690715,0.326364307,2.02159,0.537824529,-0.726,0.432906899,-0.984903545,0.047397795,0.081399861,0.047852852,3.310712116,0.125269117,1.229663456,0.135557238
pRamR-S1.1,1R-TIQ,2.08616,0.066243392,4.476235,0.321260437,3.063405,0.239165154,1.775735,0.179769614,2.39586,0.336209809,-0.6407,0.315161838,-0.880337153,0.039067103,0.154286699,0.050926275,3.73331714,0.060906966,1.64842208,0.084034177
pRamR-S1.1,1S-TIQ,2.08616,0.066243392,4.68736,0.026780514,1.739175,0.035784442,2.12599,0.115886614,2.60212,0.072453101,1.351885,0.246138799,1.865932758,0.046673408,1.985393946,0.069716575,4.683251465,0.025661626,2.598042434,0.071942727
pRamR-S1.2,1-DIQ,2.2357,0.030054108,3.365055,0.39843038,2.781675,0.457992108,1.339615,0.221561147,1.13581,0.40414186,-0.127965,0.469652544,-0.637933539,0.020905018,0.092223765,0.025319685,3.044068213,0.043695468,0.809068165,0.051705009
pRamR-S1.2,1R-TIQ,2.2357,0.030054108,4.560185,0.315170996,3.41316,0.250690201,1.52409,0.105855192,2.32446,0.318697407,-0.99062,0.331851953,-0.624032284,0.019989496,0.100811335,0.020291822,3.458021125,0.032770389,1.222663282,0.040218252
pRamR-S1.2,1S-TIQ,2.2357,0.030054108,4.54859,0.016918686,1.954735,0.020110476,2.049365,0.047565662,2.313565,0.035165077,1.15808,0.265991165,1.2623182,0.023022313,1.358494322,0.031771539,4.535814664,0.015321072,2.30070231,0.034275282
pRamR-S2.1,1-DIQ,2.01292,0.04482422,4.51566,0.28271357,3.08505,0.178721223,1.961355,0.119277308,2.512215,0.288778168,-0.804235,0.191000073,-1.18134057,0.023373384,0.099810475,0.022605031,3.694965107,0.041614506,1.683057368,0.057728538
pRamR-S2.1,1R-TIQ,2.01292,0.04482422,4.59776,0.250239295,3.101785,0.154444974,2.01414,0.111081964,2.59129,0.25908193,-0.82659,0.174458565,-1.190207775,0.024141801,0.093339788,0.020559469,3.733093696,0.034043189,1.720990615,0.053706281
pRamR-S2.1,1S-TIQ,2.01292,0.04482422,4.74069,0.009980795,1.465905,0.016553151,2.17404,0.08562852,2.72834,0.045715536,1.6284125,0.122387047,2.371813372,0.035487484,2.468543189,0.046721837,4.739833743,0.009797067,2.727435221,0.045685611
pRamR-S2.2,1-DIQ,2.10606,0.044621145,4.51588,0.227732471,2.865015,0.150283295,2.08204,0.139207049,2.414655,0.236656656,-0.8242725,0.157134813,-1.205806626,0.02936668,0.140009151,0.032126087,4.008123181,0.049629766,1.901837036,0.063779124
pRamR-S2.2,1R-TIQ,2.10606,0.044621145,4.62153,0.158208533,2.817515,0.106249045,2.06519,0.100457004,2.51844,0.17166941,-0.753585,0.12675275,-1.093991988,0.026451293,0.215596538,0.035533554,4.18284447,0.040049224,2.076784061,0.05957559
pRamR-S2.2,1S-TIQ,2.10606,0.044621145,4.69454,0.013723186,1.25746,0.02402751,2.18212,0.227739929,2.58977,0.046963748,1.58579,0.097514256,2.300757138,0.030830374,2.478031715,0.04674081,4.69416828,0.013490666,2.589393568,0.046876796
pRamR-S2.3,1-DIQ,2.066555,0.033764777,4.480725,0.038474485,2.42172,0.033514948,2.124415,0.060643396,2.41506,0.053496873,-1.16345175,0.034407829,-1.40499843,0.01909125,0.590003981,0.033450554,4.381558247,0.023430788,2.315613876,0.042180866
pRamR-S2.3,1R-TIQ,2.066555,0.033764777,4.690285,0.015334066,2.13366,0.01614872,2.09485,0.033663527,2.624355,0.03779305,-0.73181225,0.023036971,-0.329429923,0.012192989,1.306794629,0.033907724,4.662609652,0.012849694,2.596945171,0.036599295
pRamR-S2.3,1S-TIQ,2.066555,0.033764777,4.75177,0.004245309,0.3819475,0.008244024,2.02862,0.026886835,2.685155,0.033882663,1.895579,0.020523511,1.734462055,0.011277696,2.682758071,0.033858658,4.751760298,0.004244755,2.685146109,0.033882306
pRamR-S2.4,1-DIQ,2.01469,0.036925939,4.296735,0.09484193,2.691235,0.067265758,2.09284,0.07335864,2.28339,0.102527423,-0.6196675,0.081237825,-1.1711634,0.018818766,0.211377841,0.022440318,4.004792723,0.028776794,1.990753484,0.046483761
pRamR-S2.4,1R-TIQ,2.01469,0.036925939,4.64792,0.162447448,2.960435,0.099168006,2.07691,0.060572424,2.63637,0.168586768,-1.0197275,0.102771153,-1.266495566,0.019344752,0.148053884,0.016818105,3.996508125,0.019788007,1.98222566,0.041274901
pRamR-S2.4,1S-TIQ,2.01469,0.036925939,4.71728,0.004755522,1.185365,0.007198677,2.06328,0.020977671,2.70303,0.037046148,1.64329,0.061931837,2.437253505,0.02526409,2.616877976,0.036926888,4.71693998,0.004738312,2.702705991,0.037043526
pRamR-S1.3,1-DIQ,2.026005,0.039601045,4.134925,0.51114442,3.29244,0.32869713,1.96586,0.241589857,2.114175,0.515835785,-0.5927575,0.339324493,-0.515831581,0.021998582,0.017871365,0.008995789,2.997940178,0.045759387,0.972218886,0.057372097
pRamR-S1.3,1R-TIQ,2.026005,0.039601045,4.47954,0.313521553,3.143415,0.195166787,2.010785,0.12496041,2.4543,0.318481134,-0.3664225,0.2508566,-0.453874748,0.018321011,0.059899408,0.014413735,3.548818688,0.030937003,1.523131696,0.048847986
pRamR-S1.3,1S-TIQ,2.026005,0.039601045,4.617675,0.026936735,2.262675,0.024515679,2.133495,0.045637278,2.59226,0.049269222,0.957035,0.193983425,0.969692308,0.0345159,1.008998799,0.039479221,4.569675101,0.02079269,2.543211599,0.045556788
pRamR-S1.4,1-DIQ,2.55759,0.025441475,4.66151,0.03412467,2.21157,0.040467446,1.75027,0.060801359,2.105955,0.044357242,-0.0348475,0.057186955,-0.169444562,0.016966299,0.89961014,0.030083977,4.605180798,0.024426775,2.048373046,0.036106035
pRamR-S1.4,1R-TIQ,2.55759,0.025441475,4.84367,0.090381875,2.762145,0.079377467,1.686285,0.061690247,2.28861,0.098373897,-0.861085,0.081938814,-0.934401586,0.018600923,0.389927876,0.029332257,4.485529811,0.027946349,1.928759884,0.037192841
pRamR-S1.4,1S-TIQ,2.55759,0.025441475,4.69618,0.0142826,1.591615,0.022298857,1.972765,0.081644965,2.13976,0.029308287,0.894365,0.050120117,1.104491404,0.016801068,1.748764148,0.028577872,4.693467948,0.013704693,2.136793396,0.029019806
pRamR-WT,1-DIQ,1.98762,0.061713358,4.573835,0.024206307,2.058625,0.024507457,2.29002,0.069819573,2.585965,0.068099125,0.226925,0.034219145,0.375369905,0.021106329,1.316341814,0.065067588,4.559238415,0.021797904,2.571357855,0.066771572
pRamR-WT,1R-TIQ,1.98762,0.061713358,4.54478,0.057916546,2.496075,0.043943231,2.23735,0.078508993,2.559045,0.092416753,-0.4294025,0.046483111,-0.845175824,0.027387642,0.502320714,0.059116552,4.413918627,0.032167654,2.426799444,0.072202067
pRamR-WT,1S-TIQ,1.98762,0.061713358,4.645585,0.021834084,2.07446,0.021035567,2.239375,0.054170312,2.65951,0.067548456,0.2028925,0.03218504,0.469450436,0.019668135,1.379142524,0.063414464,4.628589102,0.019628064,2.642011264,0.066342491
