variant,ligand,log_g0,log_g0_err,log_ginf,log_ginf_err,log_ec50,log_ec50_err,n,n_err,log_ginf_g0_ratio,log_ginf_g0_ratio_err,ec50_spec,ec50_spec_err,g32_spec,g32_spec_err,log_g32_g0_ratio,log_g32_g0_ratio_err,log_g500,log_g500_err,log_g500_g0_ratio,log_g500_g0_ratio_err
RamR-RS520,1-DIQ,4.92808,0.001382236,2.176495,1.534641396,2.91145,0.100854998,1.82533,0.293870972,-2.751415,1.534611601,0.120075,0.149951027,-0.000296915,0.000942923,-0.001152627,0.000816146,4.787615289,0.020098896,-0.140385016,0.020094439
RamR-RS520,1R-TIQ,4.92808,0.001382236,2.255205,1.61039752,3.10645,0.181180035,1.662365,0.350458767,-2.67258,1.610376378,-0.1778775,0.200971262,2.00E-05,0.00098917,-0.000891484,0.000882977,4.851977914,0.015028578,-0.076064751,0.015172708
RamR-RS520,1S-TIQ,4.92808,0.001382236,2.469535,1.624772622,2.96382,0.127708822,1.951745,0.331472075,-2.458215,1.62474846,0.0501175,0.161780398,0.000477001,0.000771166,-0.000596735,0.000517472,4.821381823,0.01480163,-0.106740903,0.014904404
pRamR-1155,1-DIQ,1.911715,0.045234093,0.529737,0.601917831,2.72676,0.103248323,2.050825,0.379827195,-1.383345,0.598505519,0.267115,0.179273726,-0.000319566,0.001666901,-0.00125085,0.001453517,1.674620282,0.092869015,-0.23855575,0.061318688
pRamR-1155,1R-TIQ,1.911715,0.045234093,0.733763,0.689919465,3.007205,0.226187398,1.88982,0.455163038,-1.178335,0.688343534,-0.1609375,0.248311301,0.000673185,0.001400163,-0.000537786,0.00097765,1.830933705,0.060151415,-0.081508366,0.027261635
pRamR-1155,1S-TIQ,1.911715,0.045234093,0.681336,0.670111918,2.967035,0.222028232,1.771655,0.457876641,-1.21778,0.668661804,-0.099995,0.247649527,2.26E-05,0.001831901,-0.00099945,0.001750646,1.808458243,0.064137756,-0.104100357,0.031196088
pRamR-13902,1-DIQ,2.632595,0.059157858,4.75876,0.040699541,1.802185,0.058771137,1.918635,0.155452303,2.12655,0.072512068,0.1826825,0.079232693,0.187714251,0.035326407,1.463001718,0.067074802,4.750490851,0.036898681,2.117653433,0.070150986
pRamR-13902,1R-TIQ,2.632595,0.059157858,4.766585,0.070468544,2.18803,0.086538753,1.638875,0.107884347,2.13552,0.096068991,-0.3990375,0.095064442,-0.476153854,0.030970499,1.021654188,0.066179706,4.706869326,0.04948932,2.075557152,0.078880338
pRamR-13902,1S-TIQ,2.632595,0.059157858,4.782275,0.038610446,1.7748,0.052319321,1.8959,0.130396006,2.15087,0.071836699,0.22217,0.072991219,0.288917191,0.032684074,1.530676079,0.064668321,4.774657079,0.03582695,2.142861917,0.06998707
pRamR-15553,1-DIQ,3.11864,0.013859209,2.707395,0.366326482,1.56905,0.123280997,1.61532,0.420375058,-0.4113165,0.367572093,0.514095,0.271526493,-0.090815646,0.019338574,-0.1387448,0.022630277,2.718132475,0.062828853,-0.400798992,0.064967854
pRamR-15553,1R-TIQ,3.11864,0.013859209,2.895165,0.816163277,1.81928,0.452044618,1.28552,0.580641981,-0.224749,0.816800938,0.0827475,0.460172894,0.031863742,0.017017845,-0.05560816,0.020202821,2.916319417,0.041537718,-0.20301755,0.043241096
pRamR-15553,1S-TIQ,3.11864,0.013859209,2.436435,1.048284795,2.340075,0.257165514,1.174685,0.465644803,-0.684437,1.049723771,-0.5165425,0.346996769,0.059180935,0.016913207,-0.036983784,0.017494613,2.782403127,0.067893834,-0.337390218,0.068442227
pRamR-19994,1-DIQ,3.18726,0.013407408,4.153595,0.063289002,2.190215,0.110704306,1.311085,0.123075718,0.9666945,0.066756754,0.7399275,0.524320049,0.262173191,0.01610261,0.284997515,0.020549331,4.07875062,0.032005929,0.892352494,0.036004559
pRamR-19994,1R-TIQ,3.18726,0.013407408,3.38895,0.582659773,2.824105,0.762330868,1.302955,0.566138848,0.203918,0.583774742,-0.269615,0.81387699,-0.145846877,0.012253103,0.010036469,0.01134001,3.28854976,0.036099239,0.103051621,0.040225857
pRamR-19994,1S-TIQ,3.18726,0.013407408,3.707735,0.347604622,2.94401,0.631384093,1.06613,0.398234941,0.5205185,0.347120945,-0.42148,0.720916124,-0.115846801,0.012455474,0.031712804,0.015028013,3.446689803,0.043660849,0.261042702,0.044598127
pRamR-2048,1-DIQ,3.20455,0.005388723,2.150865,0.062667061,1.38447,0.0160874,1.1038,0.04739758,-1.053555,0.062598397,1.0163125,0.152241943,-0.285483848,0.006112542,-0.323498381,0.007212317,2.282357746,0.029746121,-0.922335664,0.029121374
pRamR-2048,1R-TIQ,3.20455,0.005388723,2.861375,0.880686475,2.23989,0.286464051,1.07923,0.293734318,-0.343848,0.88199189,-0.2721425,0.290752342,0.148526504,0.006501353,-0.034288457,0.008381418,2.972528237,0.024069339,-0.232651069,0.025049682
pRamR-2048,1S-TIQ,3.20455,0.005388723,1.01492,0.924288492,2.568285,0.079541112,0.930109,0.096422954,-2.18782,0.924616772,-0.737835,0.162933992,0.13682619,0.005825201,-0.041741516,0.006421948,2.853505276,0.027867764,-0.351180927,0.026565055
pRamR-25365,1-DIQ,2.68536,0.078964601,4.73786,0.034957393,1.33599,0.064866604,2.39401,0.447642315,2.05218,0.086304985,-0.170509,0.084190807,-0.013856482,0.053449224,1.904881227,0.09194781,4.737314731,0.03435471,2.051424414,0.085937328
pRamR-25365,1R-TIQ,2.68536,0.078964601,4.69597,0.035305955,1.341655,0.061383415,2.087435,0.366796765,2.012785,0.08756511,-0.17809475,0.083462814,-0.101114134,0.045361001,1.847257781,0.086556535,4.695115166,0.034275636,2.011493581,0.087100458
pRamR-25365,1S-TIQ,2.68536,0.078964601,4.72185,0.028723157,0.998167,0.089007538,1.96411,0.550940048,2.038215,0.084290667,0.3479465,0.101126863,0.116561247,0.039745891,1.991966803,0.082227781,4.721039404,0.027846422,2.037131456,0.083931269
pRamR-46536,1-DIQ,3.206805,0.015186147,1.94783,0.087494687,1.752725,0.06082231,1.96238,0.255307941,-1.25902,0.090054297,0.7454525,0.17798257,-0.092369345,0.037076648,-0.115446177,0.040236531,2.039637726,0.049443291,-1.166858728,0.0502509
pRamR-46536,1R-TIQ,3.206805,0.015186147,1.776015,1.112826031,2.63166,0.317696338,1.227805,0.478111485,-1.42942,1.112632232,-0.558105,0.324972102,0.050554573,0.021664226,-0.017798644,0.014443225,2.945235887,0.086626575,-0.26251042,0.087687058
pRamR-46536,1S-TIQ,3.206805,0.015186147,1.413365,1.017822675,2.399175,0.139672648,1.388165,0.383351744,-1.78975,1.017902381,-0.212335,0.211114667,0.041970734,0.02324134,-0.02364159,0.014995256,2.731863611,0.109689477,-0.476293798,0.109561535
pRamR-473,1-DIQ,2.648465,0.065072408,4.74711,0.064723177,2.071575,0.070571984,2.12761,0.187509031,2.100705,0.094739537,-0.3925375,0.082736311,-0.656769977,0.046745376,0.920405011,0.08123264,4.72735098,0.05647332,2.080283119,0.087433178
pRamR-473,1R-TIQ,2.648465,0.065072408,4.76997,0.055841504,1.96102,0.069449943,1.9107,0.143149455,2.121745,0.088313926,-0.225285,0.083181639,-0.206661411,0.039529956,1.219780539,0.073830512,4.752854612,0.048691417,2.104719804,0.082610417
pRamR-473,1S-TIQ,2.648465,0.065072408,4.780005,0.03377233,1.3926,0.054662011,2.08561,0.285707089,2.132025,0.073308912,0.622305,0.07307539,0.863184395,0.041608698,1.932456046,0.073440959,4.778858302,0.0328053,2.130833918,0.072912357
pRamR-5255,1-DIQ,2.41899,0.074264115,4.68377,0.034786812,1.616415,0.053045297,1.94991,0.179623941,2.2675,0.080924458,0.29623,0.07327796,0.352925284,0.035859098,1.846799241,0.080463945,4.680349856,0.033033293,2.263328807,0.080095436
pRamR-5255,1R-TIQ,2.41899,0.074264115,4.68722,0.070006263,2.165425,0.084654731,1.676305,0.108304822,2.271795,0.108177435,-0.5285925,0.092832533,-0.680537771,0.032197791,1.156621743,0.0804932,4.634689682,0.050217286,2.218267482,0.0930427
pRamR-5255,1S-TIQ,2.41899,0.074264115,4.71527,0.036144267,1.655895,0.055060902,1.938885,0.159433567,2.29807,0.08229207,0.23603,0.07564258,0.327607571,0.035268318,1.829784153,0.079431857,4.711169252,0.033975564,2.293902146,0.081331799
pRamR-6585,1-DIQ,3.04085,0.00512491,1.20038,0.939208099,2.754185,0.086477938,2.02161,0.328873834,-1.84172,0.93920613,0.42583,0.230237809,0.000500356,0.002397704,-0.001296625,0.001212148,2.811039854,0.039775858,-0.23019132,0.039662577
pRamR-6585,1R-TIQ,3.04085,0.00512491,1.382475,1.081123466,3.37799,0.396579591,1.228425,0.55426236,-1.656675,1.08081506,-0.529605,0.409060705,-0.000775299,0.003859385,-0.002112558,0.004037479,2.987883743,0.020679211,-0.05321457,0.021153139
pRamR-6585,1S-TIQ,3.04085,0.00512491,1.241495,1.005792126,2.95657,0.169821333,1.78298,0.422969618,-1.800245,1.005684446,0.119435,0.265680732,0.000730554,0.002359164,-0.001065054,0.001555287,2.924996909,0.027693464,-0.115939979,0.027712059
pRamR-6982,1-DIQ,3.169425,0.003388937,3.07277,1.462069255,3.785945,0.34124411,2.014865,0.561445851,-0.0983436,1.462393436,-0.0240725,0.41630254,5.79E-05,0.000549053,-2.52E-08,0.000490517,3.17100279,0.020593037,-6.17E-05,0.020770091
pRamR-6982,1R-TIQ,3.169425,0.003388937,1.84406,1.296062208,3.773835,0.316511445,2.037985,0.560854439,-1.325615,1.296124271,-0.03431,0.385941824,-2.03E-05,0.000471409,-8.15E-06,0.000349625,3.165684619,0.01018871,-0.00273695,0.010064589
pRamR-6982,1S-TIQ,3.169425,0.003388937,1.90029,1.366822081,3.767985,0.323644496,2.0567,0.58040953,-1.267455,1.367044951,-0.020785,0.402831207,-1.55E-05,0.000487159,-5.63E-06,0.000393543,3.166281421,0.012088876,-0.002175058,0.01192954
pRamR-7753,1-DIQ,3.45148,0.006746478,1.29768,0.850472362,1.83433,0.027753507,1.185405,0.076452804,-2.15637,0.85130562,0.73516,0.104526488,-0.11562294,0.008598472,-0.145295711,0.010165582,2.449431296,0.051283005,-1.002487678,0.051485847
pRamR-7753,1R-TIQ,3.45148,0.006746478,1.652375,1.128033626,2.87328,0.19258617,1.08957,0.276127514,-1.79873,1.128548418,-0.8253625,0.196499943,0.081074319,0.007138834,-0.013292051,0.006801316,3.256650652,0.029126002,-0.194964187,0.028589103
pRamR-7753,1S-TIQ,3.45148,0.006746478,1.18382,0.936155948,2.26965,0.043715783,1.249895,0.129835696,-2.27092,0.936420217,0.083745,0.105491547,0.034729872,0.008210605,-0.045054292,0.008960786,2.835518281,0.042594438,-0.616705664,0.041671042
pRamR-8016,1-DIQ,2.566495,0.179802784,4.50948,0.029608263,1.49449,0.047520474,1.98747,0.202999103,1.94526,0.182320171,0.58433,0.078312933,0.688298382,0.033166843,1.656800165,0.182742639,4.507740321,0.028505458,1.942803231,0.182019713
pRamR-8016,1R-TIQ,2.566495,0.179802784,4.50846,0.074385872,2.229275,0.095517422,1.634655,0.132248577,1.944535,0.208910385,-0.5183,0.107787781,-0.596819434,0.033251445,0.798228751,0.187529154,4.439230499,0.046413478,1.871827923,0.188969526
pRamR-8016,1S-TIQ,2.566495,0.179802784,4.51496,0.052477677,1.92269,0.076238893,1.846215,0.196455026,1.95152,0.188411603,-0.0578825,0.092947531,-0.090944422,0.035169757,1.137146603,0.182780268,4.498688319,0.042014784,1.933839392,0.184772441
pRamR-9141,1-DIQ,2.772555,0.043802531,4.647315,0.033458583,1.52316,0.058065313,1.82265,0.202517596,1.87462,0.05537171,0.633835,0.096914142,0.702790649,0.034519395,1.561387195,0.052057244,4.644150025,0.031277013,1.870782724,0.054023589
pRamR-9141,1R-TIQ,2.772555,0.043802531,4.669575,0.123885924,2.45202,0.140993054,1.56858,0.14536395,1.89677,0.139469256,-0.7565075,0.146154587,-0.831793393,0.035570309,0.538306266,0.05776039,4.519942627,0.060921177,1.747944779,0.078148912
pRamR-9141,1S-TIQ,2.772555,0.043802531,4.63464,0.045111464,1.860035,0.066161843,1.715875,0.132843847,1.86326,0.063362462,0.1275575,0.101855276,0.128881739,0.030832626,1.179355984,0.050683511,4.618342392,0.038570165,1.847087692,0.058409844
pRamR-9593,1-DIQ,2.861195,0.043234067,4.838615,0.037347387,1.7508,0.056049565,1.825245,0.151417197,1.979525,0.058421708,0.2305325,0.07513283,0.269491938,0.032889186,1.408431312,0.051818002,4.8305637,0.033962799,1.970722882,0.056087933
pRamR-9593,1R-TIQ,2.861195,0.043234067,4.84654,0.066659421,2.217185,0.079520116,1.65329,0.106921448,1.988155,0.084266325,-0.4683625,0.08901235,-0.582474522,0.029108483,0.841845631,0.051793537,4.781404267,0.047040556,1.92253894,0.066396368
pRamR-9593,1S-TIQ,2.861195,0.043234067,4.85515,0.036432117,1.742775,0.053184488,1.803375,0.134023622,1.99493,0.05552032,0.24145,0.072619958,0.314071042,0.029442932,1.438561957,0.049813361,4.846445733,0.033415877,1.986814497,0.053500623
pRamR-D1.1,1-DIQ,2.5482,0.011869647,4.491735,0.011751789,2.007675,0.017453264,1.530455,0.024150332,1.943755,0.016682299,1.615905,0.218015695,1.083956912,0.010563383,1.134413393,0.012382009,4.455617184,0.008962406,1.907747576,0.014781345
pRamR-D1.1,1R-TIQ,2.5482,0.011869647,4.022555,0.423161569,3.63112,0.397480042,1.304975,0.119883576,1.47356,0.423500095,-0.8079925,0.404419092,-0.583983496,0.007692904,0.022120611,0.005005448,2.98540295,0.018043806,0.437406116,0.018923862
pRamR-D1.1,1S-TIQ,2.5482,0.011869647,4.781635,0.195583168,3.652915,0.164567711,1.36814,0.046811083,2.234255,0.196088463,-0.8239225,0.255104022,-0.499762605,0.006998241,0.078440718,0.007201426,3.504280015,0.016503288,0.956043088,0.018469671
pRamR-D1.inv,1-DIQ,3.39234,0.012293661,4.617085,0.073837928,2.4161,0.10473171,1.410115,0.102552263,1.22562,0.077790833,0.2928625,0.14079147,0.028976994,0.015009076,0.250043532,0.0196835,4.480690616,0.029487657,1.088181001,0.033055333
pRamR-D1.inv,1R-TIQ,3.39234,0.012293661,4.775105,0.155118291,3.057405,0.183220671,1.264705,0.094156551,1.382925,0.157209465,-0.653295,0.190914919,-0.196921657,0.013347603,0.099223848,0.01421085,4.238338582,0.027368781,0.846144314,0.028158852
pRamR-D1.inv,1S-TIQ,3.39234,0.012293661,4.69348,0.061673703,2.367735,0.090126613,1.35644,0.081844436,1.30112,0.065138803,0.362395,0.135469275,0.168397279,0.014080814,0.342597678,0.018065218,4.568305745,0.027204029,1.176693266,0.030848028
pRamR-D1.2,1-DIQ,2.78021,0.015255443,4.61196,0.093082249,2.53795,0.098888999,1.576575,0.083601904,1.83279,0.096261755,0.72976,0.202846721,0.342267669,0.019668934,0.405139439,0.023622724,4.422658471,0.037986775,1.64359564,0.041549194
pRamR-D1.2,1R-TIQ,2.78021,0.015255443,4.625285,0.278845675,3.299185,0.244270855,1.50298,0.138746705,1.84511,0.28091463,-0.3897775,0.266310538,-0.177121581,0.015038947,0.057755008,0.014567436,3.718536151,0.039173564,0.939345341,0.038614396
pRamR-D1.2,1S-TIQ,2.78021,0.015255443,4.593975,0.28220057,3.27572,0.249727133,1.47199,0.133320074,1.815455,0.283903229,-0.3648575,0.273181765,-0.165369205,0.015598807,0.066150351,0.014925577,3.733346218,0.042353574,0.954518402,0.042018362
pRamR-D2.1,1-DIQ,2.38979,0.016359164,4.54024,0.011159221,1.759575,0.018281782,1.50836,0.025410691,2.15119,0.020061376,1.6868775,0.22375179,1.541392072,0.015646568,1.623337309,0.017637339,4.524016167,0.009831275,2.134823822,0.019255401
pRamR-D2.1,1R-TIQ,2.38979,0.016359164,4.052755,0.441533904,3.605395,0.407335538,1.30214,0.139973588,1.665455,0.442001578,-1.0646125,0.41649684,-0.834858256,0.013442556,0.038857505,0.010044847,2.993029725,0.029462139,0.60431329,0.031171138
pRamR-D2.1,1S-TIQ,2.38979,0.016359164,4.68236,0.229304676,3.322615,0.178999995,1.52658,0.057982192,2.29527,0.230236929,-0.63562,0.270439348,-0.706185575,0.011813975,0.124799187,0.011337799,3.703962971,0.022681233,1.314324482,0.026836015
pRamR-D2.2,1-DIQ,2.244785,0.02910825,4.525235,0.034753351,2.205175,0.045815266,1.50932,0.046206705,2.281265,0.04565398,0.9315325,0.131700136,0.954445247,0.019092237,1.213090716,0.030591973,4.453687215,0.022808567,2.209306498,0.036986533
pRamR-D2.2,1R-TIQ,2.244785,0.02910825,4.607935,0.294692465,3.381975,0.213246926,1.665385,0.107032312,2.3628,0.297964236,-0.8316825,0.218516455,-0.75840197,0.022537174,0.070321731,0.015269706,3.466704703,0.032906079,1.222960516,0.040213514
pRamR-D2.2,1S-TIQ,2.244785,0.02910825,4.706815,0.136709696,2.89534,0.115212957,1.585985,0.053339188,2.462505,0.142287121,-0.108695,0.155051297,-0.195641284,0.017812312,0.445964263,0.029044573,4.225023756,0.028912788,1.980194096,0.040622216
pRamR-D2.3,1-DIQ,1.886955,0.053217982,4.707115,0.01517759,1.89241,0.01848337,2.089195,0.046038793,2.820155,0.056386674,1.3866825,0.252102029,1.889961603,0.04699448,1.952600469,0.053878945,4.698172642,0.01420432,2.811314983,0.055987488
pRamR-D2.3,1R-TIQ,1.886955,0.053217982,3.59174,0.696104946,3.32498,0.446279075,1.925635,0.413679709,1.716645,0.697646923,-0.7822375,0.460257044,-1.023147407,0.036070581,0.007886191,0.010134209,2.495930804,0.080066072,0.609785703,0.091085616
pRamR-D2.3,1S-TIQ,1.886955,0.053217982,4.493135,0.342467683,3.235855,0.230125958,1.81445,0.134997861,2.61202,0.348437477,-0.6058825,0.319152222,-0.866331976,0.028080676,0.114037449,0.029227162,3.484602602,0.039491705,1.598353426,0.06430015
pRamR-D2.4,1-DIQ,1.26034,0.466223441,4.177785,0.01183168,1.68202,0.016376291,2.441845,0.077881387,2.91826,0.466575886,1.5106975,0.239932673,2.162260115,0.22789693,2.350331181,0.465411797,4.176349077,0.011598987,2.917119893,0.466539838
pRamR-D2.4,1R-TIQ,1.26034,0.466223441,3.509535,0.744498853,3.361225,0.45302158,1.96304,0.408334825,2.39469,0.85035267,-1.0095675,0.462026377,-1.317667203,0.302268545,0.023182935,0.16196808,2.283407243,0.11552251,1.018946755,0.458052452
pRamR-D2.4,1S-TIQ,1.26034,0.466223441,4.53988,0.260240963,3.025155,0.163576428,2.097915,0.148424968,3.32956,0.556141644,-0.49833,0.281793221,-0.823058966,0.105289896,0.352168065,0.378654699,3.777227509,0.033376058,2.51784869,0.464067811
pRamR-D2.6,1-DIQ,0.593255,0.572490911,4.4984,0.024702271,1.03705,0.071843338,2.18387,0.553548925,3.902095,0.57228807,1.734575,0.28632783,3.172740817,0.260528766,3.85971477,0.57253991,4.498052125,0.024035147,3.90084954,0.5723258
pRamR-D2.6,1R-TIQ,0.593255,0.572490911,3.882565,1.271133681,3.168735,0.555001136,2.419895,0.628036767,3.28916,1.414002533,-1.4685775,0.558659666,-2.34318766,0.449459136,0.075137107,0.292458658,2.789104467,0.737908768,2.037717361,0.940021079
pRamR-D2.6,1S-TIQ,0.593255,0.572490911,4.369365,0.103207055,2.361275,0.07109877,3.06567,0.285948562,3.7829,0.58081091,-0.2654625,0.292776926,-0.822726081,0.237072926,1.18328274,0.552871221,4.329816431,0.080293695,3.73402969,0.576211954
pRamR-D2.inv,1-DIQ,2.330445,0.0190139,4.62031,0.292873131,3.45611,0.220205231,1.565485,0.08421583,2.291385,0.294017901,-0.007955,0.278547848,0.033425146,0.009740346,0.069772055,0.010417348,3.440776225,0.028518798,1.110231916,0.032284835
pRamR-D2.inv,1R-TIQ,2.330445,0.0190139,4.379465,0.405226306,3.42679,0.280311928,1.750735,0.144081684,2.053095,0.406860118,0.0296125,0.311367421,-0.038851332,0.007753175,0.021428421,0.005515604,3.162428192,0.027239771,0.831038642,0.030975501
pRamR-D2.inv,1S-TIQ,2.330445,0.0190139,4.618565,0.296162539,3.49811,0.216536724,1.60558,0.083427908,2.285495,0.297396224,-0.0653225,0.264947618,0.005421634,0.008272605,0.05111928,0.008222533,3.356887172,0.02394855,1.026372807,0.028634097
pRamR-H70,1-DIQ,2.361915,0.02699569,3.827305,0.034979036,2.16851,0.03981347,2.083085,0.119358177,1.46556,0.049140115,0.0696475,0.048753816,-0.066661145,0.020862134,0.326656502,0.031893135,3.795685728,0.025947562,1.433498005,0.040692281
